plot_type,varname,casename,apply_log10,time_period,sel_dict,filepath,date
histogram,NO3,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0104-01-01_0104-12-31,{'z_t': '500.00'},histogram/NO3.0104-01-01_0104-12-31.z_t--500.00.png,
histogram,NO3,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0104-01-01_0104-12-31,{'z_t': '500.00'},histogram/NO3.0104-01-01_0104-12-31.z_t--500.00.log10.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0095-01-01_0095-12-31,{'z_t': '35109.35'},histogram/O2.0095-01-01_0095-12-31.z_t--35109.35.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0095-01-01_0095-12-31,{'z_t': '35109.35'},histogram/O2.0095-01-01_0095-12-31.z_t--35109.35.log10.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0096-01-01_0096-12-31,{'z_t': '35109.35'},histogram/O2.0096-01-01_0096-12-31.z_t--35109.35.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0096-01-01_0096-12-31,{'z_t': '35109.35'},histogram/O2.0096-01-01_0096-12-31.z_t--35109.35.log10.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0097-01-01_0097-12-31,{'z_t': '35109.35'},histogram/O2.0097-01-01_0097-12-31.z_t--35109.35.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0097-01-01_0097-12-31,{'z_t': '35109.35'},histogram/O2.0097-01-01_0097-12-31.z_t--35109.35.log10.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0098-01-01_0098-12-31,{'z_t': '35109.35'},histogram/O2.0098-01-01_0098-12-31.z_t--35109.35.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0098-01-01_0098-12-31,{'z_t': '35109.35'},histogram/O2.0098-01-01_0098-12-31.z_t--35109.35.log10.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0099-01-01_0099-12-31,{'z_t': '35109.35'},histogram/O2.0099-01-01_0099-12-31.z_t--35109.35.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0099-01-01_0099-12-31,{'z_t': '35109.35'},histogram/O2.0099-01-01_0099-12-31.z_t--35109.35.log10.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0100-01-01_0100-12-31,{'z_t': '35109.35'},histogram/O2.0100-01-01_0100-12-31.z_t--35109.35.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0100-01-01_0100-12-31,{'z_t': '35109.35'},histogram/O2.0100-01-01_0100-12-31.z_t--35109.35.log10.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0101-01-01_0101-12-31,{'z_t': '35109.35'},histogram/O2.0101-01-01_0101-12-31.z_t--35109.35.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0101-01-01_0101-12-31,{'z_t': '35109.35'},histogram/O2.0101-01-01_0101-12-31.z_t--35109.35.log10.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0102-01-01_0102-12-31,{'z_t': '35109.35'},histogram/O2.0102-01-01_0102-12-31.z_t--35109.35.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0102-01-01_0102-12-31,{'z_t': '35109.35'},histogram/O2.0102-01-01_0102-12-31.z_t--35109.35.log10.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0103-01-01_0103-12-31,{'z_t': '35109.35'},histogram/O2.0103-01-01_0103-12-31.z_t--35109.35.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0103-01-01_0103-12-31,{'z_t': '35109.35'},histogram/O2.0103-01-01_0103-12-31.z_t--35109.35.log10.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0104-01-01_0104-12-31,{'z_t': '35109.35'},histogram/O2.0104-01-01_0104-12-31.z_t--35109.35.png,
histogram,O2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0104-01-01_0104-12-31,{'z_t': '35109.35'},histogram/O2.0104-01-01_0104-12-31.z_t--35109.35.log10.png,
histogram,O2_ZMIN,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0095-01-01_0095-12-31,{},histogram/O2_ZMIN.0095-01-01_0095-12-31.png,
histogram,O2_ZMIN,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0096-01-01_0096-12-31,{},histogram/O2_ZMIN.0096-01-01_0096-12-31.png,
histogram,O2_ZMIN,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0097-01-01_0097-12-31,{},histogram/O2_ZMIN.0097-01-01_0097-12-31.png,
